Part Number,Cap (μF),WV (V dc ),"Rated ripple current (mArms/105°C, 120Hz)",tanδ,Size ΦdxL(mm)
EWH0JM330D11OT,33,6.3(0J),54,0.26,5×11
EWH0JM470D11OT,47,6.3(0J),64,0.26,5×11
EWH0JM101D11OT,100,6.3(0J),94,0.26,5×11
EWH0JM221D11OT,220,6.3(0J),140,0.26,5×11
EWH0JM331E11OT,330,6.3(0J),190,0.26,6.3×11
EWH0JM471E11OT,470,6.3(0J),230,0.26,6.3×11
EWH0JM102F12OT,1000,6.3(0J),380,0.26,8×12
EWH0JM222G20OT,2200,6.3(0J),710,0.28,10×20
EWH0JM332G20OT,3300,6.3(0J),840,0.3,10×20
EWH0JM472W20OT,4700,6.3(0J),1090,0.32,12.5×20
EWH0JM682W25OT,6800,6.3(0J),1350,0.36,12.5×25
EWH0JM103L25OT,10000,6.3(0J),1650,0.44,16×25
EWH0JM153L35OT,15000,6.3(0J),2010,0.54,16×35
EWH0JM223M40OT,22000,6.3(0J),2350,0.68,18×40
EWH1AM220D11OT,22,10(1A),46,0.19,5×11
EWH1AM330D11OT,33,10(1A),57,0.19,5×11
EWH1AM470D11OT,47,10(1A),68,0.19,5×11
EWH1AM101D11OT,100,10(1A),100,0.19,5×11
EWH1AM221E11OT,220,10(1A),170,0.19,6.3×11
EWH1AM331E11OT,330,10(1A),200,0.19,6.3×11
EWH1AM471F11OT,470,10(1A),250,0.19,8×11
EWH1AM102G1BOT,1000,10(1A),460,0.19,10×12.5
EWH1AM222G20OT,2200,10(1A),760,0.21,10×20
EWH1AM332W20OT,3300,10(1A),1000,0.23,12.5×20
EWH1AM472W25OT,4700,10(1A),1260,0.25,12.5×25
EWH1AM682L25OT,6800,10(1A),1570,0.29,16×25
EWH1AM103L35OT,10000,10(1A),1890,0.37,16×35
EWH1AM153M35OT,15000,10(1A),2180,0.47,18×35
EWH1CM100D11OT,10,16(1C),34,0.16,5×11
EWH1CM220D11OT,22,16(1C),51,0.16,5×11
EWH1CM330D11OT,33,16(1C),63,0.16,5×11
EWH1CM470D11OT,47,16(1C),75,0.16,5×11
EWH1CM101D11OT,100,16(1C),110,0.16,5×11
EWH1CM221E11OT,220,16(1C),180,0.16,6.3×11
EWH1CM331F11OT,330,16(1C),260,0.16,8×11
EWH1CM471F12OT,470,16(1C),310,0.16,8×12
EWH1CM102G16OT,1000,16(1C),560,0.16,10×16
EWH1CM222W20OT,2200,16(1C),920,0.18,12.5×20
EWH1CM332W25OT,3300,16(1C),1170,0.2,12.5×25
EWH1CM472L25OT,4700,16(1C),1480,0.22,16×25
EWH1CM682L30OT,6800,16(1C),1780,0.26,16×30
EWH1CM103M35OT,10000,16(1C),2060,0.34,18×35
EWH1EM4R7D11OT,4.7,25(1E),25,0.14,5×11
EWH1EM100D11OT,10,25(1E),36,0.14,5×11
EWH1EM220D11OT,22,25(1E),54,0.14,5×11
EWH1EM330D11OT,33,25(1E),67,0.14,5×11
EWH1EM470D11OT,47,25(1E),80,0.14,5×11
EWH1EM101E11OT,100,25(1E),130,0.14,6.3×11
EWH1EM221F11OT,220,25(1E),230,0.14,8×11
EWH1EM331F12OT,330,25(1E),310,0.14,8×12
EWH1EM471G1BOT,470,25(1E),380,0.14,10×12.5
EWH1EM102G20OT,1000,25(1E),680,0.14,10×20
EWH1EM222W25OT,2200,25(1E),1090,0.16,12.5×25
EWH1EM332L25OT,3300,25(1E),1400,0.18,16×25
EWH1EM472L30OT,4700,25(1E),1710,0.2,16×30
EWH1EM682M35OT,6800,25(1E),2040,0.24,18×35
EWH1VM4R7D11OT,4.7,35(1V),28,0.12,5×11
EWH1VM100D11OT,10,35(1V),41,0.12,5×11
EWH1VM220D11OT,22,35(1V),61,0.12,5×11
EWH1VM330D11OT,33,35(1V),75,0.12,5×11
EWH1VM470D11OT,47,35(1V),90,0.12,5×11
EWH1VM101E11OT,100,35(1V),150,0.12,6.3×11
EWH1VM221F12OT,220,35(1V),270,0.12,8×12
EWH1VM331G1BOT,330,35(1V),350,0.12,10×12.5
EWH1VM471G16OT,470,35(1V),460,0.12,10×16
EWH1VM102W20OT,1000,35(1V),810,0.12,12.5×20
EWH1VM222L25OT,2200,35(1V),1260,0.14,16×25
EWH1VM332L35OT,3300,35(1V),1610,0.16,16×35
EWH1VM472M35OT,4700,35(1V),1910,0.18,18×35
EWH1HMR10D11OT,0.1,50(1H),1.3,0.1,5×11
EWH1HMR22D11OT,0.22,50(1H),2.9,0.1,5×11
EWH1HMR33D11OT,0.33,50(1H),4.3,0.1,5×11
EWH1HMR47D11OT,0.47,50(1H),6.2,0.1,5×11
EWH1HM010D11OT,1,50(1H),13,0.1,5×11
EWH1HM2R2D11OT,2.2,50(1H),20,0.1,5×11
EWH1HM3R3D11OT,3.3,50(1H),25,0.1,5×11
EWH1HM4R7D11OT,4.7,50(1H),30,0.1,5×11
EWH1HM100D11OT,10,50(1H),40,0.1,5×11
EWH1HM220D11OT,22,50(1H),65,0.1,5×11
EWH1HM330E11OT,33,50(1H),90,0.1,6.3×11
EWH1HM470E11OT,47,50(1H),110,0.1,6.3×11
EWH1HM101F11OT,100,50(1H),180,0.1,8×11
EWH1HM221G1BOT,220,50(1H),300,0.1,10×12.5
EWH1HM331G16OT,330,50(1H),410,0.1,10×16
EWH1HM471G20OT,470,50(1H),530,0.1,10×20
EWH1HM102W25OT,1000,50(1H),950,0.1,12.5×25
EWH1HM222L35OT,2200,50(1H),1470,0.12,16×35
EWH1HM332M35OT,3300,50(1H),1770,0.14,18×35
EWH1JM100D11OT,10,63(1J),46,0.09,5×11
EWH1JM220D11OT,22,63(1J),71,0.09,5×11
EWH1JM330E11OT,33,63(1J),100,0.09,6.3×11
EWH1JM470E11OT,47,63(1J),120,0.09,6.3×11
EWH1JM101G1BOT,100,63(1J),215,0.09,10×12.5
EWH1JM221G16OT,220,63(1J),335,0.09,10×16
EWH1JM331G20OT,330,63(1J),510,0.09,10×20
