Capacitance,Capacitance Code,Tolerance,0201 10V,0201 16V,0201 25V,0402 10V,0402 16V,0402 25V,0402 50V,0402 100V,0402 200V,0402 250V,0603 10V,0603 16V,0603 25V,0603 50V,0603 100V,0603 200V,0603 250V,0805 10V,0805 16V,0805 25V,0805 50V,0805 100V,0805 200V,0805 250V,1206 10V,1206 16V,1206 25V,1206 50V,1206 100V,1206 200V,1206 250V
1.1pF,119,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
1.2pF,129,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
1.3pF,139,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
1.5pF,159,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
1.6pF,169,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
1.8pF,189,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
2pF,209,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
2.2pF,229,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
2.4pF,249,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
2.7pF,279,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
3pF,309,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
3.3pF,339,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
3.6pF,369,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
3.9pF,399,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
4.3pF,439,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
4.7pF,479,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
5.1pF,519,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
5.6pF,569,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
6.2pF,629,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
6.8pF,689,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
7.5pF,759,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
8.2pF,829,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
9.1pF,919,"B, C, D",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
10pF,100,"F, G, J, K, M",AB¹,AB¹,AB¹,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
11pF,110,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
12pF,120,"F, G, J, K, M",AB²,AB²,AB²,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
13pF,130,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
