Capacitance,Capacitance Code,Tolerance,0402 6.3V,0402 10V,0402 16V,0402 25V,0402 50V,0603 6.3V,0603 10V,0603 16V,0603 25V,0603 50V,0603 100V,0603 200V,0603 250V,0805 6.3V,0805 10V,0805 16V,0805 25V,0805 50V,0805 100V,0805 200V,0805 250V,1206 6.3V,1206 10V,1206 16V,1206 25V,1206 50V,1206 100V,1206 200V,1206 250V
1000pF,102,"J, K, M",BB,BB,BB,BB,BB,CF,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB,EB
1200pF,122,"J, K, M",BB,BB,BB,BB,BB,CF,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB,EB
1500pF,152,"J, K, M",BB,BB,BB,BB,BB,CF,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB,EB
1800pF,182,"J, K, M",BB,BB,BB,BB,BB,CF,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB,EB
2200pF,222,"J, K, M",BB,BB,BB,BB,BB,CF,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB,EB
2700pF,272,"J, K, M",BB,BB,BB,BB,BB,CF,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB,EB
3300pF,332,"J, K, M",BB,BB,BB,BB,BB,CF,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB,EB
3900pF,392,"J, K, M",BB,BB,BB,BB,BB,CF,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB,EB
4700pF,472,"J, K, M",BB,BB,BB,BB,BB,CF,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB,EB
5600pF,562,"J, K, M",BB,BB,BB,BB,BB,CF,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB,EB
