Cap (uF),Cap (code),Case size φD × L  (mm),Rated ripple,Voltage,Voltage code
22,220, 5 × 11,45,6.3V,0J
33,330, 5 × 11,55,6.3V,0J
47,470, 5 × 11,65,6.3V,0J
100,101, 5 × 11,95,6.3V,0J
220,221, 6.3 × 11 ,160,6.3V,0J
330,331, 6.3 × 11 ,195,6.3V,0J
470,471, 8 × 11.5,270,6.3V,0J
1000,102, 10 × 12.5,420,6.3V,0J
2200,222, 10 × 20,710,6.3V,0J
3300,332, 12.5 × 20   ,910,6.3V,0J
4700,472, 12.5 × 25   ,1120,6.3V,0J
6800,682, 12.5 × 35.5,1360,6.3V,0J
10000,103, 12.5 × 40   ,1650,6.3V,0J
15000,153, 16 × 35.5,2010,6.3V,0J
22000,223, 18 × 40,2350,6.3V,0J
22,220,5 × 11,45,10V,1A
33,330, 5 × 11,58,10V,1A
47,470, 5 × 11,68,10V,1A
100,101, 5 × 11,105,10V,1A
220,221, 6.3 × 11 ,175,10V,1A
330,331, 8 × 11.5,240,10V,1A
470,471, 8 × 11.5,280,10V,1A
1000,102, 10 × 16,500,10V,1A
2200,222, 12.5 × 20   ,810,10V,1A
3300,332, 12.5 × 25   ,1050,10V,1A
4700,472, 12.5 × 35.5,1300,10V,1A
6800,682, 12.5 × 40   ,1570,10V,1A
10000,103, 16 × 35.5,1890,10V,1A
15000,153, 18 × 40,2400,10V,1A
22000,223,,,,
22,220,5 × 11,54,16V,1C
33,330, 5 × 11,65,16V,1C
47,470, 5 × 11,79,16V,1C
100,101, 5 × 11,115,16V,1C
220,221, 6.3 × 11 ,190,16V,1C
330,331, 8 × 11.5,265,16V,1C
470,471, 8 × 11.5,315,16V,1C
1000,102, 10 × 16,560,16V,1C
2200,222, 12.5 × 20   ,920,16V,1C
3300,332, 12.5 × 31.5,1270,16V,1C
4700,472, 12.5 × 35.5,1480,16V,1C
6800,682, 16 × 31.5,1780,16V,1C
10000,103, 18 × 35.5,2060,16V,1C
15000,153,,,,
22000,223,,,,
22,220,5  × 11,58,25V,1E
33,330, 5 × 11,68,25V,1E
47,470, 5 × 11,83,25V,1E
100,101, 6.3 × 11  ,140,25V,1E
220,221, 8 × 11.5,240,25V,1E
330,331, 8 × 11.5,290,25V,1E
470,471, 10 × 12.5,380,25V,1E
1000,102, 10 × 20,680,25V,1E
2200,222, 12.5 × 31.5,1200,25V,1E
3300,332, 12.5 × 35.5,1400,25V,1E
4700,472, 16 × 31.5,1710,25V,1E
6800,682, 18 × 35.5,2040,25V,1E
10000,103,,,,
15000,153,,,,
22000,223,,,,
22,220,5  × 11,61,35V,1V
33,330, 5 × 11,75,35V,1V
47,470, 5 × 11,93,35V,1V
100,101, 6.3 × 11,150,35V,1V
220,221, 8 × 11.5,260,35V,1V
330,331, 10 × 12.5,350,35V,1V
470,471, 10 × 16,460,35V,1V
1000,102, 12.5 × 25,860,35V,1V
2200,222, 12.5 × 40,1260,35V,1V
3300,332, 16 × 35.5,1610,35V,1V
4700,472, 18 × 35.5,1910,35V,1V
6800,682,,,,
10000,103,,,,
15000,153,,,,
22000,223,,,,
22,220,5 × 11,68,50V,1H
33,330, 5 × 11,90,50V,1H
47,470, 6.3 × 11  ,115,50V,1H
100,101, 8 × 11.5,190,50V,1H
220,221, 10 × 12.5,300,50V,1H
330,331, 10 × 16,410,50V,1H
470,471, 12.5 × 20   ,530,50V,1H
1000,102, 12.5 × 31.5,1040,50V,1H
2200,222, 16 × 35.5,1470,50V,1H
3300,332, 18 × 35.5,1770,50V,1H
4700,472,,,,
6800,682,,,,
10000,103,,,,
15000,153,,,,
22000,223,,,,
