Cap (uF),Cap (code),Case size φD × L  (mm),Rated ripple,Voltage,Voltage code
0.1,0R1,,,,
0.22,R22,,,,
0.33,R33,,,,
0.47,R47,,,,
1,10,,,,
2.2,2R2,,,,
3.3,3R3,,,,
4.7,4R7,,,,
10,100,,,,
22,220,5 × 11.5,45,6.3V,0J
33,330,5 × 11.5,55,6.3V,0J
47,470,5 × 11.5,65,6.3V,0J
100,101,5 × 11.5,95,6.3V,0J
220,221,5 × 11.5,145,6.3V,0J
330,331,6.3 × 11.5,195,6.3V,0J
470,471,6.3 × 11.5,230,6.3V,0J
1000,102,8 × 11.5,390,6.3V,0J
2200,222,10 × 20.5,710,6.3V,0J
3300,332,10 × 20.5,840,6.3V,0J
4700,472,12.5 × 20.5,1090,6.3V,0J
6800,682,12.5 × 25.5,1350,6.3V,0J
10000,103,16 × 25.5,1650,6.3V,0J
15000,153,16 × 35.5,2010,6.3V,0J
22000,223,18 × 40.5,2350,6.3V,0J
33000,333,22 × 50.5,2800,6.3V,0J
0.1,0R1,,,,
0.22,R22,,,,
0.33,R33,,,,
0.47,R47,,,,
1,10,,,,
2.2,2R2,,,,
3.3,3R3,,,,
4.7,4R7,,,,
10,100,,,,
22,220,5 × 11.5,45,10V,1A
33,330,5 × 11.5,58,10V,1A
47,470,5 × 11.5,68,10V,1A
100,101,5 × 11.5,105,10V,1A
220,221,6.3 × 11.5,175,10V,1A
330,331,6.3 × 11.5,210,10V,1A
470,471,6.3 × 11.5,250,10V,1A
1000,102,10 × 12.5,460,10V,1A
2200,222,10 × 20.5,760,10V,1A
3300,332,12.5 × 20.5,1000,10V,1A
4700,472,12.5 × 25.5,1260,10V,1A
6800,682,16 × 25.5,1570,10V,1A
10000,103,16 × 35.5,1890,10V,1A
15000,153,18 × 35.5,2180,10V,1A
22000,223,20 × 40.5,2650,10V,1A
33000,333,22 × 50.,3250,10V,1A
0.1,0R1,,,,
0.22,R22,,,,
0.33,R33,,,,
0.47,R47,,,,
1,10,,,,
2.2,2R2,,,,
3.3,3R3,,,,
4.7,4R7,,,,
10,100,5 × 11.5,35,16V,1C
22,220,5 × 11.5,54,16V,1C
33,330,5 × 11.5,65,16V,1C
47,470,5 × 11.5,79,16V,1C
100,101,5 × 11.5,115,16V,1C
220,221,6.3 × 11.5,190,16V,1C
330,331,8 × 11.5,265,16V,1C
470,471,8 × 11.5,315,16V,1C
1000,102,10 × 16.5,560,16V,1C
2200,222,12.5 × 20.5,920,16V,1C
3300,332,12.5 × 25.5,1170,16V,1C
4700,472,16 × 25.5,1480,16V,1C
6800,682,16 × 35.5,1780,16V,1C
10000,103,18 × 35.5,2060,16V,1C
15000,153,20 × 40.5,2430,16V,1C
22000,223,22 × 50.5,3000,16V,1C
33000,333,25 × 50.,3450,16V,1C
0.1,0R1,,,,
0.22,R22,,,,
0.33,R33,,,,
0.47,R47,,,,
1,10,,,,
2.2,2R2,,,,
3.3,3R3,,,,
4.7,4R7,5 × 11.,25,25V,1E
10,100,5 × 11.5,36,25V,1E
22,220,5 × 11.5,58,25V,1E
33,330,5 × 11.5,68,25V,1E
47,470,5 × 11.5,83,25V,1E
100,101,6.3 × 11.5,140,25V,1E
220,221,8 × 11.5,240,25V,1E
330,331,10 × 12.5,315,25V,1E
470,471,10 × 12.5,380,25V,1E
1000,102,10 × 20.5,680,25V,1E
2200,222,12.5 × 25.5,1090,25V,1E
3300,332,16 × 25.5,1400,25V,1E
4700,472,16 × 31.5,1710,25V,1E
6800,682,18 × 35.5,2040,25V,1E
10000,103,20 × 40.5,2150,25V,1E
15000,153,22 × 50.5,2750,25V,1E
22000,223,25 × 50.,3250,25V,1E
33000,333,,,,
0.1,0R1,,,,
0.22,R22,,,,
0.33,R33,,,,
0.47,R47,,,,
1,10,,,,
2.2,2R2,,,,
3.3,3R3,,,,
4.7,4R7,5 × 11.5,28,35V,1V
10,100,5 × 11.5,41,35V,1V
22,220,5 × 11.5,61,35V,1V
33,330,5 × 11.5,75,35V,1V
47,470,5 × 11.5,93,35V,1V
100,101,6.3 × 11.5,150,35V,1V
220,221,10 × 12.5,275,35V,1V
330,331,10 × 12.5,350,35V,1V
470,471,10 × 16.5,460,35V,1V
1000,102,12.5 × 20.5,810,35V,1V
2200,222,16 × 25.5,1260,35V,1V
3300,332,16 × 35.5,1610,35V,1V
4700,472,18 × 35.5,1910,35V,1V
6800,682,20 × 40.5,2150,35V,1V
10000,103,22 × 50.5,2650,35V,1V
15000,153,25 × 50.,3100,35V,1V
22000,223,,,,
33000,333,,,,
0.1,0R1,5 × 11.5,1.3,50V,1H
0.22,R22,5 × 11.5,2.9,50V,1H
0.33,R33,5 × 11.5,4.3,50V,1H
0.47,R47,5 × 11.5,7,50V,1H
1,10,5 × 11.5,13,50V,1H
2.2,2R2,5 × 11.5,20,50V,1H
3.3,3R3,5 × 11.5,25,50V,1H
4.7,4R7,5 × 11.5,30,50V,1H
10,100,5 × 11.5,46,50V,1H
22,220,5 × 11.5,68,50V,1H
33,330,5 × 11.5,90,50V,1H
47,470,6.3 × 11.5,115,50V,1H
100,101,8 × 11.5,190,50V,1H
220,221,10 × 12.5,300,50V,1H
330,331,10 × 16.5,410,50V,1H
470,471,12.5 × 20.5,530,50V,1H
1000,102,12.5 × 25.5,950,50V,1H
2200,222,16 × 35.5,1470,50V,1H
3300,332,18 × 35.5,1770,50V,1H
4700,472,20 × 40.5,2100,50V,1H
6800,682,22 × 50.5,2500,50V,1H
10000,103,25 × 50.5,2850,50V,1H
15000,153,,,,
22000,223,,,,
33000,333,,,,
0.1,0R1,,,,
0.22,R22,,,,
0.33,R33,,,,
0.47,R47,,,,
1,10,,,,
2.2,2R2,,,,
3.3,3R3,,,,
4.7,4R7,,,,
10,100,5 × 11.5,46,63V,1J
22,220,5 × 11.5,71,63V,1J
33,330,6.3 × 11.5,100,63V,1J
47,470,6.3 × 11.5,120,63V,1J
100,101,10 × 12.5,215,63V,1J
220,221,10 × 16.5,335,63V,1J
330,331,10 × 20.5,510,63V,1J
470,471,12.5 × 20.5,640,63V,1J
1000,102,16 × 25.5,930,63V,1J
2200,222,18 × 35.5,1650,63V,1J
3300,332,20 × 40.5,1950,63V,1J
4700,472,22 × 50.5,2450,63V,1J
6800,682,25 × 50.,2800,63V,1J
0.1,0R1,5 × 11.5,1.5,100V,2A
0.22,R22,5 × 11.5,3.4,100V,2A
0.33,R33,5 × 11.5,5,100V,2A
0.47,R47,5 × 11.5,7.1,100V,2A
1,10,5 × 11.5,15,100V,2A
2.2,2R2,5 × 11.5,21,100V,2A
3.3,3R3,5 × 11.5,29,100V,2A
4.7,4R7,5 × 11.5,32,100V,2A
10,100,6.3 × 11.5,54,100V,2A
22,220,6.3 × 11.5,93,100V,2A
33,330,8 × 11.5,130,100V,2A
47,470,10 × 12.5,165,100V,2A
100,101,10 × 20.5,265,100V,2A
220,221,12.5 × 25.5,440,100V,2A
330,331,12.5 × 25.5,540,100V,2A
470,471,16 × 25.5,715,100V,2A
1000,102,18 × 40.5,985,100V,2A
2200,222,22 × 50.5,1750,100V,2A
3300,332,25 × 50,2070,100V,2A
4700,472,,,,
6800,682,,,,
0.1,0R1,,,,
0.22,R22,,,,
0.33,R33,,,,
0.47,R47,6.3 × 11.5,11,160V,2C
1,10,6.3 × 11.5,16,160V,2C
2.2,2R2,6.3 × 11.5,25,160V,2C
3.3,3R3,6.3 × 11.5,30,160V,2C
4.7,4R7,6.3 × 11.5,34,160V,2C
10,100,8 × 11.5,41,160V,2C
22,220,10 × 16.5,100,160V,2C
33,330,10 × 20.5,145,160V,2C
47,470,12.5 × 20.5,195,160V,2C
100,101,12.5 × 25.5,215,160V,2C
220,221,16 × 35.5,570,160V,2C
330,331,18 × 40.5,750,160V,2C
470,471,22 × 40.5,900,160V,2C
1000,102,25 × 50.,1310,160V,2C
2200,222,,,,
3300,332,,,,
4700,472,,,,
6800,682,,,,
0.1,0R1,,,,
0.22,R22,,,,
0.33,R33,,,,
0.47,R47,6.3 × 11.5,11,200V,2D
1,10,6.3 × 11.5,16,200V,2D
2.2,2R2,6.3 × 11.5,25,200V,2D
3.3,3R3,6.3 × 11.5,30,200V,2D
