Series,Status,Apps.,Part Number,Previous Part Number,Capacitance,Size(LxW),T(max),Rated Volt.[Vdc],Temperature Characteristic,Cap. Tole.,tanδ(max) [%],Q(min),Temp.[℃],Case Size(EIA/JIS),Dimension L,Dimension W,Dimension T,Standard Quantity,RoHS,Q200
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5103KFNA01,UMK063BJ103KP-F,0.01 uF,0.6x0.3,0.33,50,X5R/B,± 10 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5103MFNA01,UMK063BJ103MP-F,0.01 uF,0.6x0.3,0.33,50,X5R/B,± 20 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5682KFNA01,UMK063BJ682KP-F,6800 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5682MFNA01,UMK063BJ682MP-F,6800 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5472KFNA01,UMK063BJ472KP-F,4700 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5472MFNA01,UMK063BJ472MP-F,4700 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5332KFNA01,UMK063BJ332KP-F,3300 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5332MFNA01,UMK063BJ332MP-F,3300 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5222KFNA01,UMK063BJ222KP-F,2200 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5222MFNA01,UMK063BJ222MP-F,2200 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
