Capacitance Code,Capacitance,0402 10V,0402 16V,0402 25V,0402 50V,0402 100V,0603 10V,0603 16V,0603 25V,0603 50V,0603 100V,0805 10V,0805 16V,0805 25V,0805 50V,0805 100V,1206 10V,1206 16V,1206 25V,1206 50V,1206 100V
0R5,0.5pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,,,,,
1R0,1pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,,,,,
1R2,1.2pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,,,,,
1R5,1.5pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
1R8,1.8pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
2R2,2.2pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
2R7,2.7pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
3R3,3.3pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
3R9,3.9pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
4R7,4.7pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
5R6,5.6pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
6R8,6.8pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
8R2,8.2pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
100,10pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
120,12pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
150,15pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
180,18pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
220,22pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
270,27pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
330,33pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
390,39pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
470,47pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
560,56pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
680,68pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
820,82pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
101,100pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
121,120pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
151,150pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
181,180pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
221,220pF,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
271,270pF,N,N,N,N,,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
331,330pF,N,N,N,N,,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B
391,390pF,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B
471,470pF,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B
561,560pF,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B
681,680pF,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B
821,820pF,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B
102,1nF,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B
122,1.2nF,,,,,,X,X,X,X,,B,B,B,B,B,B,B,B,B,B
152,1.5nF,,,,,,X,X,X,X,,B,B,B,B,B,B,B,B,B,B
182,1.8nF,,,,,,X,X,X,X,,B,B,B,B,B,B,B,B,B,B
222,2.2nF,,,,,,X,X,X,X,,B,B,B,B,B,B,B,B,B,B
272,2.7nF,,,,,,X,X,X,X,,D,D,D,D,D,B,B,B,B,B
332,3.3nF,,,,,,X,X,X,X,,D,D,D,D,D,B,B,B,B,B
392,3.9nF,,,,,,,,,,,D,D,D,D,D,B,B,B,B,B
472,4.7nF,,,,,,,,,,,D,D,D,D,D,B,B,B,B,B
562,5.6nF,,,,,,,,,,,D,D,D,D,,B,B,B,B,B
682,6.8nF,,,,,,,,,,,D,D,D,D,,C,C,C,C,C
822,8.2nF,,,,,,,,,,,D,D,D,D,,D,D,D,D,D
103,10nF,,,,,,,,,,,D,D,D,D,,D,D,D,D,D
123,12nF,,,,,,,,,,,T,T,T,T,,P,P,P,P,
153,15nF,,,,,,,,,,,,,,,,P,P,P,P,
183,18nF,,,,,,,,,,,,,,,,P,P,P,P,
223,22nF,,,,,,,,,,,,,,,,P,P,P,P,
273,27nF,,,,,,,,,,,,,,,,P,P,P,P,
333,33nF,,,,,,,,,,,,,,,,P,P,P,P,
393,39nF,,,,,,,,,,,,,,,,P,P,P,P,
473,47nF,,,,,,,,,,,,,,,,,,,,
563,56nF,,,,,,,,,,,,,,,,,,,,
683,68nF,,,,,,,,,,,,,,,,,,,,
823,82nF,,,,,,,,,,,,,,,,,,,,
104,100nF,,,,,,,,,,,,,,,,,,,,
