Capacitance,Capacitance Code,0201 16V,0201 25V,0201 50V,0402 10V,0402 16V,0402 25V,0402 50V,0402 100V,0603 10V,0603 16V,0603 25V,0603 50V,0603 100V,0805 10V,0805 16V,0805 25V,0805 50V,0805 100V,1206 10V,1206 16V,1206 25V,1206 50V,1206 100V,1210 10V,1210 16V,1210 25V,1210 50V,1210 100V,1812 16V,1812 25V,1812 50V,1812 100V
0.1pF,(0R1),L,L,L,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,
0.2pF,(0R2),L,L,L,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,
0.3pF,(0R3),L,L,L,N,N,N,N,,S,S,S,S,,,,,,,,,,,,,,,,,,,,
0.4pF,(0R4),L,L,L,N,N,N,N,,S,S,S,S,,,,,,,,,,,,,,,,,,,,
0.5pF,(0R5),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,,,,,,,,,,,,,,
0.6pF,(0R6),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,,,,,,,,,,,,,,
0.7pF,(0R7),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,,,,,,,,,,,,,,
0.8pF,(0R8),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,,,,,,,,,,,,,,
0.9pF,(0R9),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,,,,,,,,,,,,,,
1.0pF,(1R0),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,,,,,,,,,,,,,,
1.2pF,(1R2),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B,,,,,,,,,
1.5pF,(1R5),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B,,,,,,,,,
1.8pF,(1R8),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B,,,,,,,,,
2.0pF,(2R0),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,,,,,,,,,,,,,,
2.2pF,(2R2),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B,,,,,,,,,
2.7pF,(2R7),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B,,,,,,,,,
3.0pF,(3R0),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,,,,,,,,,,,,,,
3.3pF,(3R3),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B,,,,,,,,,
3.9pF,(3R9),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B,,,,,,,,,
4.0pF,(4R0),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,,,,,,,,,,,,,,
4.7pF,(4R7),L,L,L,N,N,N,N,N,S,S,S,S,S,A,A,A,A,A,B,B,B,B,B,,,,,,,,,
