Capacitance,0201 | 25 V,0201 | 50 V,0402 |  50 V,0603 | 50 V,0603 | 100 V,0603 | 250 V,0805 | 50 V,0805 | 100 V,0805 | 250V,1206 | 50 V,1206 |  100 V,1206 | 250 V,1206 | 500 V,1206 | 630 V,1210 | 50 V,1210 | 100 V,1210 | 250 V,1210 | 500 V
0.2 pF,0.3± 0.03,0.3± 0.03,,,,,,,,,,,,,,,,
0.47 pF,0.3± 0.03,0.3± 0.03, 0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,,,,,,,
0.56pF,0.3± 0.03,0.3± 0.03, 0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,,,,,,,
0.68pF,0.3± 0.03,0.3± 0.03, 0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,,,,,,,
0.82pF,0.3± 0.03,0.3± 0.03, 0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,,,,,,,
1pF,0.3± 0.03,0.3± 0.03, 0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,,,,,,,
1.2pF,0.3± 0.03,0.3± 0.03, 0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,,,,,,,
1.5pF,0.3± 0.03,0.3± 0.03, 0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,,,,,,,
1.8pF,0.3± 0.03,0.3± 0.03, 0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,,,,,,,
2.2pF,0.3± 0.03,0.3± 0.03, 0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,,,,,,,
