Capacitance,0201 | 25V,0201 | 50V,0402 | 10V,0402 | 16V,0402 | 25V,0402 | 50V,0402 | 100V,0603 | 10V,0603 | 16V,0603 | 25V,0603 | 50V,0603 | 100V,0805 | 10 V,0805 | 16 V,0805 | 25 V,0805 | 50 V,0805 | 100 V,0805 | 250 V,0805 | 500 V,1206 | 6.3V,1206 | 10V,1206 | 16V,1206 | 25V,1206 | 50V,1206 | 100V,1206 | 250V,1210 | 6.3V,1210 | 10 V,1210 | 16 V,1210 | 25 V,1210 | 50V,1210 | 100 V,1210 | 250 V,1812 | 50V,1812 | 100V
100 pF, 0.3± 0.03,0.3± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 pF, 0.3± 0.03,0.3± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220 pF, 0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330 pF, 0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470 pF, 0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680 pF, 0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0 nF, 0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,,,,,,,,,,,,,,,,
1.5 nF, 0.3± 0.03,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,,,,,,,,,,,,,,,,
2.2 nF, 0.3± 0.03,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,,,,,,,,,,,,,,,,
3.3 nF, 0.3± 0.03,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,,,,,,,,,,,,,,,,
4.7 nF, 0.3± 0.03,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,,,,,,,,,,,,,,,,
6.8 nF, 0.3± 0.03,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,,,,,,,,,,,,,,,,,
10 nF, 0.3± 0.03,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.5± 0.05,,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,,,,,,,,,,,,,,,,,
15 nF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,,,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,,,,,,,,,,,,,,,,,
22 nF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,,,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,,,,,,,,,
33 nF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,,,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,,,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.60± 0.2,,,,,,,,,
47 nF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,,,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,,,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.60± 0.2,,,,,,,,,
68 nF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,,,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,,,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,1.60± 0.2,,,,,,,,,
68 nF,,,,,,,,,,,,,,,,1.25± 0.2,,,,,,,,,,,,,,,,,,,
100 nF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,,,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.8± 0.1,,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,,,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,1.60± 0.2,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,,
100 nF,,,,,,,,,,,,,,,,1.25± 0.2,,,,,,,,,,,,,,,,,,,
150 nF,,,,,,,,0.8± 0.1,0.8± 0.1,0.8± 0.1,,,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,,,,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,1.25± 0.2,,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,1.25± 0.2,,,
220 nF,,,,,,,,0.8± 0.1,0.8± 0.1,0.8± 0.1,,,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,,,,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,1.25± 0.2,,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,1.25± 0.2,,,
330 nF,,,,,,,,0.8± 0.1,0.8± 0.1,,,,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2,,,,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.60± 0.2,1.60± 0.2,,0.85± 0.1,0.85± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,2.0± 0.2,,,
470 nF,,,,,,,,0.8± 0.1,0.8± 0.1,,,,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2,,,,1.00± 0.1,1.00± 0.1,1.00± 0.1,1.00± 0.1,1.60± 0.2,1.60± 0.2,,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2,2.0± 0.2,,1.60± 0.2,1.60± 0.2
680 nF,,,,,,,,0.8± 0.1,0.8± 0.1,,,,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2,,,,1.15± 0.1,1.15± 0.1,1.15± 0.1,1.60± 0.2,1.60± 0.2,1.60± 0.2,,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2,2.0± 0.2,,1.60± 0.2,1.60± 0.2
1 μF,,,,,,,,0.8± 0.1,0.8± 0.1,0.8± 0.1,,,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2,,,,1.15± 0.1,1.15± 0.1,1.15± 0.1,1.60± 0.2,1.60± 0.2,1.60± 0.2,,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2,2.0± 0.2,,1.60± 0.2,1.60± 0.2
2.2 μF,,,,,,,,,,,,,1.25± 0.2,1.25± 0.2,1.25± 0.2,,,,,1.60± 0.2,1.60± 0.2,1.60± 0.2,1.60± 0.2,1.60± 0.2,1.60± 0.2,,,,,,2.0± 0.2,2.0± 0.2,,,
4.7 μF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5± 0.2,,,,
