Capacitance,0201 | 25V,0201 | 50V,0402 | 16V,0402 | 25V,0402 | 50V,0603 | 16V,0603 | 25V,0603 | 50V,0805 | 16V,0805 | 25V,0805 | 50V,1206 | 16V,1206 | 25V,1206 | 50V,1210 | 25V,1210 | 50V,1812 | 50V
0.22 pF,0.3± 0.03,0.3± 0.03,,,,,,,,,,,,,,,
0.47 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,
0.82 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,
1.0 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
1.2 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
1.5 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
1.8 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
2.2 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
2.7 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
3.3 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
