Capacitance,0201 | 6.3V,0201 | 10 V,0201 | 16 V,0201 | 25 V,0201 | 50 V,0402 | 6.3V,0402 | 10 V,0402 | 16 V,0402 | 25 V ,0402 | 50 V,0603 | 6.3V,0603 | 10 V,0603 | 16 V,0603 | 25 V ,0603 | 50 V,0805 | 6.3V,0805 | 10 V,0805 | 16 V,0805 | 25 V ,0805 | 50 V,1206 | 6.3V,1206 | 10 V,1206 | 16 V,1206 | 25 V ,1206 | 50 V,1210 | 6.3V,1210 | 10 V,1210 | 16 V,1210 | 25 V ,1210 | 50 V,1812 | 50V
,6.3 V,10 V,16 V,25 V,25 V,6.3 V,10 V,16 V,25 V ,50 V,6.3 V,10 V,16 V,25 V ,50 V,6.3 V,10 V,16 V,25 V ,50 V,6.3 V,10 V,16 V,25 V ,50 V,6.3 V,10 V,16 V,25 V ,50 V,50 V
100 pF,BA,BA,BA,BA,BA,CA,CA,CA,CA,CA,DA,DA,DA,DA,DA,,,,,,,,,,,,,,,,
150 pF,BA,BA,BA,BA,BA,CA,CA,CA,CA,CA,DA,DA,DA,DA,DA,,,,,,,,,,,,,,,,
220 pF,BA,BA,BA,BA,BA,CA,CA,CA,CA,CA,DA,DA,DA,DA,DA,E0,E0,E0,E0,E0,F0,F0,F0,F0,F0,,,,,,
330 pF,BA,BA,BA,BA,BA,CA,CA,CA,CA,CA,DA,DA,DA,DA,DA,E0,E0,E0,E0,E0,F0,F0,F0,F0,F0,,,,,,
470 pF,BA,BA,BA,BA,BA,CA,CA,CA,CA,CA,DA,DA,DA,DA,DA,E0,E0,E0,E0,E0,F0,F0,F0,F0,F0,,,,,,
680 pF,BA,BA,BA,BA,BA,CA,CA,CA,CA,CA,DA,DA,DA,DA,DA,E0,E0,E0,E0,E0,F0,F0,F0,F0,F0,,,,,,
1.0 nF,BA,BA,BA,BA,BA,CA,CA,CA,CA,CA,DA,DA,DA,DA,DA,E0,E0,E0,E0,E0,F0,F0,F0,F0,F0,,,,,,
1.5 nF,BA,BA,BA,BA,,CA,CA,CA,CA,CA,DA,DA,DA,DA,DA,E0,E0,E0,E0,E0,F0,F0,F0,F0,F0,,,,,,
2.2 nF,BA,BA,BA,BA,,CA,CA,CA,CA,CA,DA,DA,DA,DA,DA,E0,E0,E0,E0,E0,F0,F0,F0,F0,F0,G0,G0,G0,G0,G0,
3.3 nF,BA,BA,BA,BA,,CA,CA,CA,CA,CA,DA,DA,DA,DA,DA,E0,E0,E0,E0,E0,F0,F0,F0,F0,F0,G0,G0,G0,G0,G0,
4.7 nF,BA,BA,BA,BA,,CA,CA,CA,CA,CA,DA,DA,DA,DA,DA,E0,E0,E0,E0,E0,F0,F0,F0,F0,F0,G0,G0,G0,G0,G0,JA
