Capacitance,0201 | 6.3V,0201 | 25V,0402 | 6.3V,0402 | 10V,0402 | 16V,0402 | 25V,0402 | 50V,0603 | 6.3V,0603 | 10V,0603 | 16V,0603 | 25V,0603 | 50V,0805 | 6.3V,0805 | 10V,0805 | 16V,0805 | 25V,0805 | 50V,1206 | 6.3V,1206 | 10V,1206 | 16V,1206 | 25V,1206 | 50V,1210 | 6.3V,1210 | 10V,1210 | 16V,1210 | 25V,1210 | 50V
10 nF,,0.3± 0.03,,0.5± 0.05,0.5± 0.05,0.5± 0.05, 0.5± 0.05,,,,  0.8± 0.1,0.8± 0.1,,,,,,,,,0.6± 0.1,0.6± 0.1,,,,,
22 nF,,,,0.5± 0.05, 0.5± 0.05, 0.5± 0.05,,,,,   0.8± 0.1, 0.8± 0.1,,,,   0.6± 0.1,0.6± 0.1,,,,0.6± 0.1,0.6± 0.1,,,,,
47 nF,,,,0.5± 0.05, 0.5± 0.05, 0.5± 0.05,,,,,   0.8± 0.1, 0.8± 0.1,,,,    0.6± 0.1,0.6± 0.1,,,,0.6± 0.1,0.6± 0.1,,,,,
100 nF,0.3± 0.03,,0.5± 0.05,0.5± 0.05,0.5± 0.05, 0.5± 0.05,,,,   0.8± 0.1, 0.8± 0.1, 0.8± 0.1,,,,    0.6± 0.1,0.6± 0.1,,,,0.6± 0.1,0.6± 0.1,,,,,
220 nF,,,0.5± 0.05,0.5± 0.05, 0.5± 0.05,,,,,   0.8± 0.1, 0.8± 0.1,,,,, 0.6± 0.1,0.6± 0.1,,,,0.6± 0.1,0.6± 0.1,,,,,
470 nF,,,0.5± 0.05,0.5± 0.05, 0.5± 0.05,,,,,   0.8± 0.1, 0.8± 0.1,,,,    0.6± 0.1,  0.85± 0.1,0.85± 0.1,,,,0.85± 0.1,0.85± 0.1,,,,,
1.0 μF,,,0.5± 0.05,0.5± 0.05,,,, 0.8± 0.1,0.8± 0.1,0.8± 0.1,,,,,  0.85± 0.1,  0.85± 0.1,0.85± 0.1,,,,0.85± 0.1,,,,,,
2.2 μF,,,,,,,, 0.8± 0.1,0.8± 0.1,0.8± 0.1,,,,,  0.85± 0.1,  0.85± 0.1,1.25± 0.2,,  0.85± 0.1, 0.85± 0.1,0.85± 0.1,,,,,,
4.7 μF,,,,,,,, 0.8± 0.1,0.8± 0.1,,,,  0.85± 0.1,  0.85± 0.1,  0.85± 0.1,1.25± 0.2,,,  0.85± 0.1, 0.85± 0.1,,,,,,,
10 μF,,,,,,,,,,,,,  0.85± 0.1,0.85± 0.1,1.25± 0.2,,,0.85± 0.1,0.85± 0.1,1.15± 0.1,1.6± 0.2,,1.5± 0.1,1.5± 0.1,1.5± 0.1,1.5± 0.1,1.5± 0.1
22 μF,,,,,,,,,,,,,1.25± 0.2 ,1.25± 0.2 ,,,,1.6± 0.2,1.6± 0.2,1.6± 0.2,,,1.6± 0.2,1.6± 0.2,1.6± 0.2,,
47 μF,,,,,,,,,,,,,1.25± 0.2 ,1.25± 0.2 ,,,,,,,,,,,,,
